rep,run,shelf,plate,line,trt,read time,start,end,start count,end count,germinated,notes
1,1,8,254,146-1,15,1/26/16 9:03,150.67,198.55,0,4,4,
1,2,6,195,148-1,10,2/13/16 8:39,59.58,107.48,0,4,4,
1,1,1,16,149-1,20,1/26/16 8:37,150.33,198.12,2,6,4,
1,1,3,86,149-1,10,1/22/16 8:29,54,101.98,0,4,4,
1,1,5,146,149-2,0,,438.45,Inf,6,10,4,
1,2,4,140,150-1,10,2/13/16 8:33,59.93,107.8,0,4,4,
1,2,7,221,151-1,0,2/13/16 8:42,59.45,107.37,0,4,4,
1,1,3,84,151-2,20,,437.9,Inf,6,10,4,
1,1,9,296,153-2,15,,440.62,Inf,6,10,4,
1,1,5,150,156-2,10,,438.45,Inf,6,10,4,
1,2,6,207,163-2,0,2/13/16 8:39,59.58,107.48,0,4,4,
1,1,1,26,165-1,15,,437.63,Inf,6,10,4,
1,1,4,118,165-1,20,1/26/16 8:49,150.48,198.32,1,5,4,
1,1,8,284,165-1,0,1/24/16 9:10,102.28,150.67,3,7,4,
1,1,1,5,170-1,10,1/22/16 8:24,54,101.9,0,4,4,
1,1,1,5,170-1,10,,437.63,Inf,6,10,4,
1,1,1,20,170-1,20,1/28/16 8:28,198.12,245.97,3,7,4,
1,1,9,306,170-1,0,1/22/16 8:49,54.18,102.32,0,4,4,
1,1,9,306,170-1,0,1/24/16 9:14,102.32,150.73,4,8,4,
1,1,1,6,173-1,10,1/24/16 8:50,101.9,150.33,1,5,4,
1,1,1,6,173-1,10,,437.63,Inf,6,10,4,
1,1,8,280,173-1,0,,440.4,Inf,6,10,4,
1,1,6,207,173-2,20,,439.78,Inf,6,10,4,
1,2,8,286,174-2,10,2/13/16 8:44,59.32,107.23,0,4,4,
1,1,5,170,177-2,20,,438.45,Inf,6,10,4,
1,1,9,308,177-2,10,,440.62,Inf,6,10,4,
1,1,9,315,179-1,0,1/24/16 9:14,102.32,150.73,1,5,4,
1,1,3,75,181-1,10,1/24/16 8:56,101.98,150.43,2,6,4,
1,1,5,175,181-1,15,1/26/16 8:53,150.53,198.38,4,8,4,
1,1,6,211,182-1,15,1/24/16 9:04,102.07,150.57,1,5,4,
1,1,7,238,182-1,20,1/26/16 8:59,150.62,198.48,1,5,4,
1,1,7,238,182-1,20,,440.23,Inf,6,10,4,
1,1,2,72,184-1,20,1/26/16 8:40,150.4,198.17,0,4,4,
1,1,6,191,184-1,10,1/22/16 8:34,54.07,102.07,0,4,4,
1,1,8,279,187-2,15,,440.4,Inf,6,10,4,
1,1,4,137,188-1,20,2/3/16 8:32,342.27,390.03,5,9,4,
1,1,8,274,188-1,0,1/24/16 9:10,102.28,150.67,0,4,4,
1,1,8,274,188-1,0,1/28/16 8:50,198.55,246.33,6,10,4,
1,1,3,92,189-1,10,1/24/16 8:56,101.98,150.43,0,4,4,
1,1,3,92,189-1,10,,437.9,Inf,6,10,4,
1,1,5,168,190-1,20,,438.45,Inf,6,10,4,
1,1,8,262,190-1,10,1/24/16 9:10,102.28,150.67,1,5,4,
1,1,8,282,190-1,15,,440.4,Inf,6,10,4,
1,1,2,52,190-2,20,1/30/16 9:29,245.97,294.98,2,6,4,
1,1,4,139,190-2,10,,437.9,Inf,6,10,4,
1,1,7,218,204-2,10,2/1/16 8:59,295.38,342.48,3,7,4,
1,1,7,219,204-2,0,1/28/16 8:47,198.48,246.28,0,4,4,
1,1,7,219,204-2,0,2/1/16 8:59,295.38,342.48,5,9,4,
1,1,7,222,208-1,10,1/28/16 8:47,198.48,246.28,1,5,4,
1,1,7,229,208-1,0,1/28/16 8:47,198.48,246.28,3,7,4,
1,1,3,96,215-1,0,,437.9,Inf,6,10,4,
1,1,7,237,215-1,10,1/22/16 8:41,54.13,102.18,0,4,4,
1,1,7,245,215-1,20,1/26/16 8:59,150.62,198.48,0,4,4,
1,1,3,98,216-1,20,1/26/16 8:43,150.43,198.22,0,4,4,
1,1,3,98,216-1,20,,437.9,Inf,6,10,4,
1,1,9,291,216-1,15,,440.62,Inf,6,10,4,
1,1,1,22,75-1,0,1/26/16 8:37,150.33,198.12,1,5,4,
1,1,5,157,75-1,20,2/1/16 8:51,295.15,342.35,4,8,4,
1,1,6,183,79-1,10,1/24/16 9:04,102.07,150.57,6,10,4,
1,1,6,188,79-1,20,1/30/16 9:48,246.25,295.3,2,6,4,
1,1,6,188,79-1,20,,439.78,Inf,6,10,4,
1,1,5,145,81-2,0,1/22/16 8:34,54,102.07,0,4,4,
1,1,9,310,84-1,20,1/28/16 8:50,198.62,246.33,2,6,4,
1,1,2,39,93-1,20,1/30/16 9:29,245.97,294.98,3,7,4,
1,1,9,289,93-1,10,1/24/16 9:14,102.32,150.73,3,7,4,
1,1,1,30,Johnny's,10,1/28/16 8:28,198.12,245.97,0,4,4,
1,1,1,30,Johnny's,10,1/30/16 9:25,245.97,294.92,4,8,4,
1,1,2,42,Johnny's,15,,437.63,Inf,6,10,4,
1,1,2,63,Johnny's,15,1/28/16 8:28,198.17,245.97,0,4,4,
1,1,4,135,Johnny's,0,,437.9,Inf,6,10,4,
1,1,5,177,Johnny's,15,1/30/16 9:39,246.18,295.15,2,6,4,
1,1,6,197,Johnny's,10,1/30/16 9:48,246.25,295.3,3,7,4,
1,1,6,198,Johnny's,0,1/30/16 9:48,246.25,295.3,1,5,4,
1,1,8,268,Johnny's,0,1/30/16 9:56,246.33,295.43,2,6,4,
1,1,8,268,Johnny's,0,,440.4,Inf,6,10,4,
1,1,8,277,Johnny's,0,,440.4,Inf,6,10,4,
1,1,5,167,001-1,20,1/26/16 8:53,150.53,198.38,0,3,3,
1,1,1,2,100-1,10,2/5/16 8:08,389.88,437.63,7,10,3,
1,1,3,90,100-1,15,,437.9,Inf,7,10,3,
1,1,3,91,100-1,0,2/1/16 8:41,295.05,342.18,6,9,3,
1,1,7,225,100-1,0,2/1/16 8:59,295.38,342.48,7,10,3,
1,1,8,255,100-1,0,1/30/16 9:56,246.33,295.43,3,6,3,
1,1,8,259,100-1,10,1/30/16 9:56,246.33,295.43,2,5,3,
1,1,8,259,100-1,10,2/1/16 8:59,295.43,342.48,5,8,3,
1,1,1,25,100-2,10,2/3/16 8:23,342.03,389.88,3,6,3,
1,1,1,25,100-2,10,2/5/16 8:08,389.88,437.63,6,9,3,
1,1,5,160,100-2,15,2/5/16 8:57,390.2,438.45,2,5,3,
1,1,5,174,100-2,0,1/30/16 9:39,246.18,295.15,1,4,3,
1,1,5,174,100-2,0,,438.45,Inf,7,10,3,
1,1,3,80,104-2,10,2/1/16 8:41,295.05,342.18,3,6,3,
1,1,3,80,104-2,10,,437.9,Inf,7,10,3,
1,1,1,31,118-2,15,1/30/16 9:25,245.97,294.92,1,4,3,
1,1,1,31,118-2,15,2/1/16 8:32,294.92,342.03,4,7,3,
1,1,8,260,118-2,0,2/1/16 8:59,295.43,342.48,7,10,3,
1,1,3,101,131-1,20,,437.9,Inf,7,10,3,
1,1,3,108,131-1,0,1/22/16 8:29,54,101.98,0,3,3,
1,1,3,108,131-1,0,,437.9,Inf,7,10,3,
1,2,2,42,131-2,15,2/13/16 8:29,60.37,108.23,0,3,3,
1,2,3,81,131-2,0,2/13/16 8:31,60.15,108.02,0,3,3,
1,1,3,74,132-2,20,1/26/16 8:43,150.43,198.22,0,3,3,
1,1,3,74,132-2,20,,437.9,Inf,7,10,3,
1,1,3,104,132-2,10,1/22/16 8:29,54,101.98,0,3,3,
1,2,1,28,134-1,10,2/13/16 8:26,60.58,108.43,0,3,3,
1,1,4,121,135-1,20,1/26/16 8:49,150.48,198.32,2,5,3,
1,1,7,247,135-2,15,1/26/16 8:59,150.62,198.48,3,6,3,
1,1,8,287,135-2,20,1/28/16 8:50,198.55,246.33,1,4,3,
1,1,1,23,137-2,0,1/26/16 8:37,150.33,198.12,7,10,3,
1,1,2,65,137-2,20,,437.63,Inf,7,10,3,
