,sampleid,line,rep,run,shelf,plate,trt,type,end,status,germinated,pedigree,planting.date,landrace.abb,loc_id,region,pop,population.type,landrace.name,cultivation,main.use
102,CanAbasolo1,215-1,1,1,7,245,20,E3,542.5,0,5,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
103,CanAbasolo1,215-1,1,1,7,245,20,E3,542.5,0,5,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
104,CanAbasolo1,215-1,1,1,7,245,20,E3,198.4833333,1,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
105,CanAbasolo1,215-2,1,1,5,155,20,E3,542.5,0,6,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
106,CanAbasolo1,215-2,1,1,5,155,20,E3,438.45,1,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
107,CanAbasolo1,215-2,2,3,4,121,15,E3,497.5,0,6,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
108,CanAbasolo1,215-2,3,5,9,291,20,E3,522,0,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
109,CanAbasolo1,215-2,2,3,4,132,0,E3,497.5,0,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
110,CanAbasolo1,215-2,2,3,4,121,15,E3,497.5,0,6,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
111,CanAbasolo1,215-2,3,5,9,297,0,E3,522,0,2,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
112,CanAbasolo1,215-2,3,1,8,261,15,E3,522,0,1,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
113,CanAbasolo1,215-2,2,3,4,121,15,E3,497.5,0,6,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
114,CanAbasolo1,215-2,5,5,8,261,15,E3,522,0,2,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
115,CanAbasolo1,215-2,1,1,5,155,20,E3,542.5,0,6,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
116,CanAbasolo1,215-2,3,5,9,291,20,E3,522,0,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
117,CanAbasolo1,215-2,1,1,5,155,20,E3,438.45,1,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
118,CanAbasolo1,215-2,1,1,4,125,10,E3,542.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
119,CanAbasolo1,215-2,2,3,4,111,20,E3,207.1666667,1,2,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
120,CanAbasolo1,215-2,2,3,4,121,15,E3,497.5,0,6,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
121,CanAbasolo1,215-2,3,5,9,297,0,E3,522,0,2,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
122,CanAbasolo1,215-2,1,1,5,155,20,E3,542.5,0,6,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
123,CanAbasolo1,215-2,1,1,4,125,10,E3,542.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
124,CanAbasolo1,215-2,2,3,4,132,0,E3,497.5,0,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
125,CanAbasolo1,215-2,1,1,4,125,10,E3,542.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
126,CanAbasolo1,215-2,3,5,9,291,20,E3,522,0,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
127,CanAbasolo1,215-2,2,3,4,132,0,E3,497.5,0,5,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
