rep,run,shelf,plate,line,trt,type,end,status,germinated,,
4,7,2,43,88-1,20,,396,1,1,,
4,7,2,43,88-1,20,,445,1,0,,
4,7,2,43,88-1,20,,501,1,0,,
4,7,2,43,88-1,20,,Inf,1,7,,
4,7,2,44,122-2,0,,59.5,1,0,,
4,7,2,44,122-2,0,,107.3333333,1,0,,
4,7,2,44,122-2,0,,153.75,1,0,,
4,7,2,44,122-2,0,,203.6666667,1,3,,
4,7,2,44,122-2,0,,253,1,3,,
4,7,2,44,122-2,0,,298.75,1,1,,
4,7,2,44,122-2,0,,344.75,1,2,,
4,7,2,44,122-2,0,,396,1,0,,
4,7,2,44,122-2,0,,445,1,0,,
4,7,2,44,122-2,0,,502.75,1,0,,
4,7,2,44,122-2,0,,Inf,1,0,,
4,7,2,45,106-1,15,,59.5,1,0,,
4,7,2,45,106-1,15,,107.3333333,1,0,,
4,7,2,45,106-1,15,,153.75,1,0,,
4,7,2,45,106-1,15,,203.6666667,1,2,,
4,7,2,45,106-1,15,,253,1,0,,
4,7,2,45,106-1,15,,298.75,1,0,,
4,7,2,45,106-1,15,,344.75,1,0,,
4,7,2,45,106-1,15,,396,1,0,,
4,7,2,45,106-1,15,,445,1,0,,
4,7,2,45,106-1,15,,502.75,1,0,,
4,7,2,45,106-1,15,,Inf,1,0,,
4,7,2,46,186-1,0,,59.5,1,0,,
4,7,2,46,186-1,0,,107.3333333,1,1,,
4,7,2,46,186-1,0,,153.75,1,1,,
4,7,2,46,186-1,0,,203.6666667,1,0,,
4,7,2,46,186-1,0,,253,1,0,,
4,7,2,46,186-1,0,,298.75,1,0,,
4,7,2,46,186-1,0,,344.75,1,0,,
4,7,2,46,186-1,0,,396,1,0,,
4,7,2,46,186-1,0,,445,1,0,,
4,7,2,46,186-1,0,,501,1,0,,
4,7,2,46,186-1,0,,Inf,1,0,,
4,7,2,47,106-1,10,,59.5,1,0,,
4,7,2,47,106-1,10,,107.3333333,1,1,,
4,7,2,47,106-1,10,,153.75,1,0,,
4,7,2,47,106-1,10,,203.6666667,1,1,,
4,7,2,47,106-1,10,,253,1,1,,
