,sampleid,line,X,rep,run,shelf,plate,trt,end,status,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use,uniqueplate
281,CanAnil3,77-1,3173.4,2,3,9,295,15,156.7,1,10,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_295
283,CanAnil3,77-2,7744,4,7,6,202,15,153.8,1,1,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_202
286,CanAnil3,77-2,2677.1,2,3,4,120,20,158.2,1,10,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_120
288,CanAnil3,77-2,2067,1,2,8,265,0,107.2,1,5,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_265
290,CanAnil3,77-2,5317.3,3,5,8,278,15,109.5,1,7,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_278
291,CanAnil3,77-2,7745.4,4,7,6,202,15,203.7,1,6,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_202
292,CanAnil3,77-2,2067.1,1,2,8,265,0,107.2,1,5,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_265
298,CanAnil3,77-2,7745.5,4,7,6,202,15,203.7,1,6,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_202
300,CanAnil3,77-2,5317.6,3,5,8,278,15,109.5,1,7,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_278
301,CanAnil3,77-2,1324.1,1,2,2,68,20,108.2,1,2,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_68
303,CanAnil3,77-2,2067.2,1,2,8,265,0,107.2,1,5,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_265
305,CanAnil3,77-2,2677,2,3,4,120,20,158.2,1,10,14CRo77-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_120
306,CanAnil3,77-1,30.4,1,1,1,9,10,101.9,1,7,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_9
307,CanAnil3,77-1,103.1,1,1,1,29,0,150.3,1,10,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_29
309,CanAnil3,77-1,2549.3,2,3,3,75,10,157.9,1,9,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_75
310,CanAnil3,77-1,2647.6,2,3,3,108,20,157.9,1,9,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_108
311,CanAnil3,77-1,2647.1,2,3,3,108,20,157.9,1,9,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_108
313,CanAnil3,77-1,2549.4,2,3,3,75,10,157.9,1,9,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_75
317,CanAnil3,77-1,30,1,1,1,9,10,101.9,1,7,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_9
319,CanAnil3,77-1,2549.2,2,3,3,75,10,157.9,1,9,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_75
321,CanAnil3,77-1,85.1,1,1,1,24,15,150.3,1,5,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_24
322,CanAnil3,77-1,7102,4,7,1,25,10,107.3,1,1,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_25
323,CanAnil3,77-1,7105.1,4,7,1,25,10,298.8,1,3,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_25
325,CanAnil3,77-1,3173.5,2,3,9,295,15,156.7,1,10,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_295
326,CanAnil3,77-1,2647.3,2,3,3,108,20,157.9,1,9,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_108
327,CanAnil3,77-1,2647.8,2,3,3,108,20,157.9,1,9,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_108
330,CanAnil3,77-1,30.1,1,1,1,9,10,101.9,1,7,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_9
332,CanAnil3,77-1,30.6,1,1,1,9,10,101.9,1,7,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_9
333,CanAnil3,77-1,2549,2,3,3,75,10,157.9,1,9,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_75
334,CanAnil3,77-1,103.9,1,1,1,29,0,150.3,1,10,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_29
338,CanAnil3,77-1,2647.2,2,3,3,108,20,157.9,1,9,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_108
339,CanAnil3,77-1,7103.1,4,7,1,25,10,153.8,1,3,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_25
340,CanAnil3,77-1,3173.7,2,3,9,295,15,156.7,1,10,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_295
341,CanAnil3,77-1,103.6,1,1,1,29,0,150.3,1,10,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_29
344,CanAnil3,77-1,30.3,1,1,1,9,10,101.9,1,7,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_9
346,CanAnil3,77-1,7105.2,4,7,1,25,10,298.8,1,3,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_25
347,CanAnil3,77-1,7104.2,4,7,1,25,10,203.7,1,3,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_25
348,CanAnil3,77-1,7104.1,4,7,1,25,10,203.7,1,3,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,7_25
349,CanAnil3,77-1,2647.4,2,3,3,108,20,157.9,1,9,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_108
350,CanAnil3,77-1,2646,2,3,3,108,20,206.8,1,1,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_108
352,CanAnil3,77-1,31,1,1,1,9,10,150.3,1,3,14CRo77-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,1_9
