,sampleid,line,rep,run,shelf,plate,trt,end,status,germinated,pedigree,planting.date,landrace.abb,loc_id,region,pop,population.type,landrace.name,cultivation,main.use
107,CanAbasolo1,215-1,2,3,8,269,0,157.05,1,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
108,CanAbasolo1,215-1,2,3,9,322,15,497.5,0,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
109,CanAbasolo1,215-1,2,3,3,78,20,157.8666667,1,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
110,CanAbasolo1,215-1,3,6,2,37,15,167.99,0,4,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
111,CanAbasolo1,215-1,2,3,8,269,0,497.5,0,6,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
112,CanAbasolo1,215-1,2,3,5,170,10,157.5,1,6,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
113,CanAbasolo1,215-1,1,1,7,237,10,542.5,0,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
114,CanAbasolo1,215-1,3,6,3,94,20,167.99,1,1,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
115,CanAbasolo1,215-1,1,1,7,245,20,542.5,0,5,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
116,CanAbasolo1,215-1,2,3,3,78,20,497.5,0,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
117,CanAbasolo1,215-2,2,3,4,121,15,497.5,0,6,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
118,CanAbasolo1,215-2,4,8,9,299,15,164,1,2,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
119,CanAbasolo1,215-2,2,3,4,121,15,497.5,0,6,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
120,CanAbasolo1,215-2,1,1,7,228,0,542.5,0,7,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
121,CanAbasolo1,215-2,1,1,7,228,0,102.1833333,1,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
122,CanAbasolo1,215-2,4,8,1,10,20,163.25,1,3,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
123,CanAbasolo1,215-2,4,8,1,10,20,211,1,2,14CAg215-2,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
124,CanAbasolo1,215-1,1,1,3,78,15,542.5,0,7,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
125,CanAbasolo1,215-1,2,3,3,78,20,157.8666667,1,3,14CAg215-1,11/10/14,CAg,1,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
