"","rep","run","shelf","plate","line","trt","end","status","viable","number"
"150",1,1,2,38,"100-1",15,542.5,0,0,4
"150.1",1,1,2,38,"100-1",15,542.5,0,0,4
"150.2",1,1,2,38,"100-1",15,542.5,0,0,4
"150.3",1,1,2,38,"100-1",15,542.5,0,0,4
"151",1,1,2,39,"93-1",20,198.1666667,1,1,1
"152",1,1,2,39,"93-1",20,245.9666667,1,1,2
"152.1",1,1,2,39,"93-1",20,245.9666667,1,1,2
"153",1,1,2,39,"93-1",20,294.9833333,1,1,4
"153.1",1,1,2,39,"93-1",20,294.9833333,1,1,4
"153.2",1,1,2,39,"93-1",20,294.9833333,1,1,4
"153.3",1,1,2,39,"93-1",20,294.9833333,1,1,4
"154",1,1,2,39,"93-1",20,542.5,0,1,3
"154.1",1,1,2,39,"93-1",20,542.5,0,1,3
"154.2",1,1,2,39,"93-1",20,542.5,0,1,3
"155",1,1,2,40,"219-1",15,542.5,0,1,9
"155.1",1,1,2,40,"219-1",15,542.5,0,1,9
"155.2",1,1,2,40,"219-1",15,542.5,0,1,9
"155.3",1,1,2,40,"219-1",15,542.5,0,1,9
"155.4",1,1,2,40,"219-1",15,542.5,0,1,9
"155.5",1,1,2,40,"219-1",15,542.5,0,1,9
"155.6",1,1,2,40,"219-1",15,542.5,0,1,9
"155.7",1,1,2,40,"219-1",15,542.5,0,1,9
"155.8",1,1,2,40,"219-1",15,542.5,0,1,9
"156",1,1,2,40,"219-1",15,542.5,0,0,1
"157",1,1,2,41,"81-2",10,101.95,1,1,8
"157.1",1,1,2,41,"81-2",10,101.95,1,1,8
"157.2",1,1,2,41,"81-2",10,101.95,1,1,8
"157.3",1,1,2,41,"81-2",10,101.95,1,1,8
"157.4",1,1,2,41,"81-2",10,101.95,1,1,8
"157.5",1,1,2,41,"81-2",10,101.95,1,1,8
"157.6",1,1,2,41,"81-2",10,101.95,1,1,8
"157.7",1,1,2,41,"81-2",10,101.95,1,1,8
"158",1,1,2,41,"81-2",10,294.9833333,1,1,1
"159",1,1,2,41,"81-2",10,542.5,0,1,1
"160",1,1,2,42,"Johnny's",15,245.9666667,1,1,2
