sampleid,line,X,rep,run,shelf,plate,trt,end,status,viable,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use,uniqueplate
CanAnil1,75-2,1824.4,1,2,5,150,15,107.6,1,1,5,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_150
CanAnil1,75-2,1825,1,2,5,150,15,155.6,1,1,1,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_150
CanAnil1,75-2,1826,1,2,5,150,15,205.8,1,1,4,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_150
CanAnil1,75-2,1826.2,1,2,5,150,15,205.8,1,1,4,14CRo75-2,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_150
CanAnil2,76-1,2111,1,2,7,223,15,542.5,0,1,1,14CRo76-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_223
CanAnil2,76-1,5893.3,3,5,7,245,10,109.5,1,1,9,14CRo76-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_245
CanAnil2,76-1,4309.3,2,3,8,270,15,157.1,1,1,8,14CRo76-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_270
CanAnil2,76-1,8157,4,8,4,124,0,65.8,1,1,3,14CRo76-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,8_124
CanAnil2,76-1,5893.4,3,5,7,245,10,109.5,1,1,9,14CRo76-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_245
CanAnil2,76-1,2110.6,1,2,7,223,15,107.4,1,1,8,14CRo76-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,2_223
CanAnil2,76-1,4214.3,2,3,7,238,0,157.6,1,1,4,14CRo76-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_238
CanAnil2,76-1,5893.6,3,5,7,245,10,109.5,1,1,9,14CRo76-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_245
CanAnil2,76-1,4310,2,3,8,270,15,60,1,1,1,14CRo76-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_270
CanAnil2,76-1,4309.7,2,3,8,270,15,157.1,1,1,8,14CRo76-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_270
CanAnil2,76-1,5893,3,5,7,245,10,109.5,1,1,9,14CRo76-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,5_245
CanAnil2,76-1,4309.4,2,3,8,270,15,157.1,1,1,8,14CRo76-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_270
CanAnil2,76-1,4304.2,2,3,8,268,10,60,1,1,6,14CRo76-1,11/10/14,CRo,wcoast,CRo_1,landrace,Costeno Rojo,Plantation,Dry,3_268
