"","sampleid","line","X","rep","run","shelf","plate","trt","end","status","viable","number","pedigree","planting.date","landrace.abb","region","pop","population.type","landrace.name","cultivation","main.use"
"119","CanAbasolo1","215-1",6657.1,3,6,7,248,10,120.03,1,1,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"120","CanAbasolo1","215-1",947,1,1,7,245,20,542.5,0,0,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"121","CanAbasolo1","215-1",4916.3,3,6,1,17,0,528,0,0,5,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"122","CanAbasolo1","215-1",300.3,1,1,3,78,15,542.5,0,0,5,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"123","CanAbasolo1","215-1",3081.4,2,3,5,170,10,157.5,1,1,6,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"124","CanAbasolo1","215-1",5002.4,3,6,3,94,20,528,0,0,8,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"125","CanAbasolo1","215-1",8308.4,4,8,5,176,15,500,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"126","CanAbasolo1","215-1",8637.3,4,8,8,276,10,500,0,0,5,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"127","CanAbasolo1","215-1",8405.2,4,8,6,207,0,500,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"128","CanAbasolo1","215-1",4308.2,2,3,8,269,0,496,0,0,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"129","CanAbasolo1","215-1",377,1,1,3,96,0,101.9833333,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"130","CanAbasolo1","215-1",2797,2,3,3,78,20,496,0,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"131","CanAbasolo1","215-1",8307,4,8,5,176,15,211,1,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"132","CanAbasolo1","215-1",913.2,1,1,7,237,10,102.1833333,1,1,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"133","CanAbasolo1","215-1",5002.3,3,6,3,94,20,528,0,0,8,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"134","CanAbasolo1","215-1",944.2,1,1,7,245,20,198.4833333,1,1,4,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"135","CanAbasolo1","215-1",297,1,1,3,78,15,150.4333333,1,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"136","CanAbasolo1","215-1",3081.3,2,3,5,170,10,157.5,1,1,6,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"137","CanAbasolo1","215-1",8308.6,4,8,5,176,15,500,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"138","CanAbasolo1","215-1",8308,4,8,5,176,15,500,0,0,7,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"139","CanAbasolo1","215-1",6138,3,6,1,17,0,215.66,1,1,1,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"140","CanAbasolo1","215-1",378.1,1,1,3,96,0,150.4333333,1,1,2,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"141","CanAbasolo1","215-1",4916.4,3,6,1,17,0,528,0,0,5,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"142","CanAbasolo1","215-1",4307,2,3,8,269,0,496,0,1,3,"14CAg215-1","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"143","CanAbasolo1","215-2",615,1,1,5,155,20,438.45,1,1,3,"14CAg215-2","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"144","CanAbasolo1","215-2",8668,4,8,8,285,0,211,1,1,2,"14CAg215-2","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"145","CanAbasolo1","215-2",1175.1,1,1,9,307,15,150.7333333,1,1,6,"14CAg215-2","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"146","CanAbasolo1","215-2",2904.1,2,3,4,111,20,496,0,0,7,"14CAg215-2","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"147","CanAbasolo1","215-2",6043,3,5,9,297,0,109.5,1,1,1,"14CAg215-2","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"148","CanAbasolo1","215-2",7760,4,8,1,10,20,211,1,1,2,"14CAg215-2","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"149","CanAbasolo1","215-2",7759.1,4,8,1,10,20,163.25,1,1,3,"14CAg215-2","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
"150","CanAbasolo1","215-2",2965.3,2,3,4,132,0,158.2,1,1,5,"14CAg215-2","11/10/14","CAg","central valleys","CAg_52","landrace","Chile de Agua","Milpa",""
