,sampleid,line,X,rep,run,shelf,plate,trt,end,status,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use
108,CanAbasolo1,215-1,828.1,1,1,7,245,20,542.5,0,5,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
109,CanAbasolo1,215-1,8103,4,8,2,56,20,500,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
110,CanAbasolo1,215-1,5588,3,6,1,17,0,528,0,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
111,CanAbasolo1,215-1,3252.5,2,3,9,322,15,156.7,1,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
112,CanAbasolo1,215-1,826.1,1,1,7,245,20,198.4833333,1,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
113,CanAbasolo1,215-1,3253,2,3,9,322,15,496,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
114,CanAbasolo1,215-1,5585.1,3,6,1,17,0,120.03,1,3,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
115,CanAbasolo1,215-1,8619,4,8,6,207,0,114.25,0,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
116,CanAbasolo1,215-1,8101,4,8,2,56,20,404,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
117,CanAbasolo1,215-1,5685,3,6,2,37,15,528,0,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
118,CanAbasolo1,215-1,3103.1,2,3,8,269,0,157.05,1,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
119,CanAbasolo1,215-1,8620.1,4,8,6,207,0,211,0,3,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
120,CanAbasolo1,215-1,828,1,1,7,245,20,542.5,0,5,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
121,CanAbasolo1,215-1,828.2,1,1,7,245,20,542.5,0,5,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
122,CanAbasolo1,215-1,5687,3,6,2,37,15,528,0,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
123,CanAbasolo1,215-1,3253.2,2,3,9,322,15,496,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
124,CanAbasolo1,215-1,5587,3,6,1,17,0,215.66,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
125,CanAbasolo1,215-1,5590,3,6,1,17,0,528,0,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
126,CanAbasolo1,215-1,5589.1,3,6,1,17,0,528,0,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
127,CanAbasolo1,215-1,8504.3,4,8,5,176,15,114.25,0,5,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
128,CanAbasolo1,215-1,3104.2,2,3,8,269,0,496,0,6,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
129,CanAbasolo1,215-1,5950,3,6,3,94,20,167.99,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
130,CanAbasolo1,215-1,5686,3,6,2,37,15,528,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
131,CanAbasolo1,215-1,5685.1,3,6,2,37,15,528,0,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
132,CanAbasolo1,215-1,329.1,1,1,3,96,0,101.9833333,1,2,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
133,CanAbasolo1,215-1,8504,4,8,5,176,15,114.25,0,5,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
134,CanAbasolo1,215-1,5686.3,3,6,2,37,15,528,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
135,CanAbasolo1,215-1,5952,3,6,3,94,20,528,0,4,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
136,CanAbasolo1,215-1,6665.1,3,6,7,248,10,120.03,1,3,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
137,CanAbasolo1,215-1,800,1,1,7,237,10,150.6166667,1,1,14CAg215-1,11/10/14,CAg,central valleys,CAg_52,landrace,Chile de Agua,Milpa,
