,X.1,sampleid,line,X,rep,run,shelf,plate,trt,end,status,number,pedigree,planting.date,landrace.abb,region,pop,population.type,landrace.name,cultivation,main.use,uniqueplate
3536,3536,CanEjutla1,190-2,9077,4,8,9,323,20,404,1,1,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_323
3541,3541,CanEjutla1,190-2,7955,4,8,1,18,15,114.2,1,2,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_18
3542,3542,CanEjutla1,190-2,9078.4,4,8,9,323,20,Inf,1,8,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_323
3545,3545,CanEjutla1,190-2,7956.5,4,8,1,18,15,163.2,1,6,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_18
3578,3578,CanEjutla1,190-2,7956.1,4,8,1,18,15,163.2,1,6,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_18
3580,3580,CanEjutla1,190-2,7956.2,4,8,1,18,15,163.2,1,6,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_18
3586,3586,CanEjutla1,190-2,7956,4,8,1,18,15,163.2,1,6,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_18
3592,3592,CanEjutla1,190-2,7955.1,4,8,1,18,15,114.2,1,2,14UNK190-2,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,8_18
3635,3635,CanEjutla1,190-1,885.1,1,1,8,262,10,342.5,1,2,14UNK190-1,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_262
3640,3640,CanEjutla1,190-1,883.2,1,1,8,262,10,150.7,1,4,14UNK190-1,11/10/14,CdA,central valleys,,landrace,Chile de Agua,Plantation,Fresh,1_262
