"","X.1","sampleid","line","X","rep","run","shelf","plate","trt","end","status","number","pedigree","planting.date","landrace.abb","region","pop","population.type","landrace.name","cultivation","main.use","uniqueplate"
"1042",1042,"CanAnil3","77-1",7103.1,4,"7",1,25,10,153.8,1,3,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_25"
"1043",1043,"CanAnil3","77-1",3173.7,2,"3",9,295,15,156.7,1,10,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_295"
"1044",1044,"CanAnil3","77-1",103.6,1,"1",1,29,0,150.3,1,10,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_29"
"1047",1047,"CanAnil3","77-1",30.3,1,"1",1,9,10,101.9,1,7,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_9"
"1050",1050,"CanAnil3","77-1",7105.2,4,"7",1,25,10,298.8,1,3,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_25"
"1051",1051,"CanAnil3","77-1",7104.2,4,"7",1,25,10,203.7,1,3,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_25"
"1052",1052,"CanAnil3","77-1",7104.1,4,"7",1,25,10,203.7,1,3,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_25"
"1053",1053,"CanAnil3","77-1",2647.4,2,"3",3,108,20,157.9,1,9,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_108"
"1054",1054,"CanAnil3","77-1",2646,2,"3",3,108,20,206.8,1,1,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_108"
"1056",1056,"CanAnil3","77-1",31,1,"1",1,9,10,150.3,1,3,"14CRo77-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_9"
