"","X.1","sampleid","line","X","rep","run","shelf","plate","trt","end","status","viable","number","pedigree","planting.date","landrace.abb","region","pop","population.type","landrace.name","cultivation","main.use","uniqueplate"
"511",511,"CanAnil1","75-1",13,1,"1",1,3,10,246,1,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_3"
"512",512,"CanAnil1","75-1",12,1,"1",1,3,10,198.1,1,1,3,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_3"
"513",513,"CanAnil1","75-1",12.1,1,"1",1,3,10,198.1,1,1,3,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_3"
"514",514,"CanAnil1","75-1",11.2,1,"1",1,3,10,150.3,1,1,3,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_3"
"515",515,"CanAnil1","75-1",7080.1,4,"7",2,50,0,344.8,1,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_50"
"516",516,"CanAnil1","75-1",7714.2,4,"7",9,305,20,503,0,1,8,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_305"
"517",517,"CanAnil1","75-1",12.2,1,"1",1,3,10,198.1,1,1,3,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_3"
"518",518,"CanAnil1","75-1",5484.1,3,"5",3,86,15,109.5,1,1,3,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_86"
"519",519,"CanAnil1","75-1",6884.1,3,"5",3,76,20,522,0,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_76"
"520",520,"CanAnil1","75-1",2550,2,"3",1,11,0,255,1,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_11"
"521",521,"CanAnil1","75-1",2551.2,2,"3",1,11,0,206.8,1,1,6,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_11"
"522",522,"CanAnil1","75-1",211,1,"1",2,54,15,246,1,1,1,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_54"
"523",523,"CanAnil1","75-1",5805,3,"5",6,207,10,109.5,1,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_207"
"524",524,"CanAnil1","75-1",209.1,1,"1",2,54,15,150.4,1,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_54"
"525",525,"CanAnil1","75-1",5809,3,"5",6,207,10,493.5,1,1,1,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_207"
"526",526,"CanAnil1","75-1",11.1,1,"1",1,3,10,150.3,1,1,3,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_3"
"527",527,"CanAnil1","75-1",7080,4,"7",2,50,0,344.8,1,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_50"
"528",528,"CanAnil1","75-1",5488,3,"5",3,86,15,303.8,1,1,1,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_86"
"529",529,"CanAnil1","75-1",2540.5,2,"3",1,8,15,158,1,1,6,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_8"
"530",530,"CanAnil1","75-1",6884,3,"5",3,76,20,522,0,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_76"
"531",531,"CanAnil1","75-1",5453.1,3,"5",3,76,20,207,1,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_76"
"532",532,"CanAnil1","75-1",2540.2,2,"3",1,8,15,158,1,1,6,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","3_8"
"534",534,"CanAnil1","75-1",624.1,1,"1",5,157,20,342.4,1,1,4,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_157"
"535",535,"CanAnil1","75-1",624,1,"1",5,157,20,342.4,1,1,4,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_157"
"536",536,"CanAnil1","75-1",210,1,"1",2,54,15,198.2,1,1,3,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_54"
"537",537,"CanAnil1","75-1",209,1,"1",2,54,15,150.4,1,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_54"
"538",538,"CanAnil1","75-1",7714.5,4,"7",9,305,20,503,0,1,8,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_305"
"539",539,"CanAnil1","75-1",5806.1,3,"5",6,207,10,156.8,1,1,2,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_207"
"540",540,"CanAnil1","75-1",5487,3,"5",3,86,15,254,1,1,1,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_86"
"541",541,"CanAnil1","75-1",7079.5,4,"7",2,50,0,253,1,1,6,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_50"
"542",542,"CanAnil1","75-1",5454,3,"5",3,76,20,254,1,1,3,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","5_76"
"543",543,"CanAnil1","75-1",86,1,"1",1,22,0,542.5,0,1,1,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","1_22"
"544",544,"CanAnil1","75-1",7441,4,"7",5,179,10,503,0,0,1,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_179"
"546",546,"CanAnil1","75-1",7079.3,4,"7",2,50,0,253,1,1,6,"14CRo75-1","11/10/14","CRo","wcoast","CRo_1","landrace","Costeno Rojo","Plantation","Dry","7_50"
