"","X","sampleid","line","rep","run","shelf","plate","trt","read.time","start","end","start.count","end.count","germinated","notes","pedigree","planting.date","landrace.abb","loc_id","region","pop","population.type","landrace.name","cultivation","main.use"
"79",161,"CanAnil3","77-1",1,1,1,9,10,"2/5/16 8:08",389.88,437.63,10,10,0,"","14CRo77-1","11/10/14","CRo",4,"W Coast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"80",153,"CanAnil3","77-1",1,1,1,9,10,"",437.63,Inf,10,10,0,"","14CRo77-1","11/10/14","CRo",4,"W Coast","CRo_1","landrace","Costeno Rojo","Plantation","Dry"
"81",2283,"CanStaCruz15","174-1",1,1,1,10,0,"1/20/16 8:30",0,54,0,0,0,"","14CAg174-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"82",2303,"CanStaCruz15","174-1",1,1,1,10,0,"1/22/16 8:24",54,101.9,0,3,3,"","14CAg174-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"83",2284,"CanStaCruz15","174-1",1,1,1,10,0,"1/24/16 8:50",101.9,150.33,3,6,3,"","14CAg174-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"84",2285,"CanStaCruz15","174-1",1,1,1,10,0,"1/26/16 8:37",150.33,198.12,6,7,1,"","14CAg174-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"85",2282,"CanStaCruz15","174-1",1,1,1,10,0,"1/28/16 8:28",198.12,245.97,7,7,0,"","14CAg174-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"86",2294,"CanStaCruz15","174-1",1,1,1,10,0,"1/30/16 9:25",245.97,294.92,7,8,1,"","14CAg174-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"87",2301,"CanStaCruz15","174-1",1,1,1,10,0,"2/1/16 8:32",294.92,342.03,8,8,0,"","14CAg174-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"88",2314,"CanStaCruz15","174-1",1,1,1,10,0,"2/3/16 8:23",342.03,389.88,8,8,0,"","14CAg174-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"89",2288,"CanStaCruz15","174-1",1,1,1,10,0,"2/5/16 8:08",389.88,437.63,8,8,0,"","14CAg174-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"90",2302,"CanStaCruz15","174-1",1,1,1,10,0,"",437.63,Inf,8,10,2,"","14CAg174-1","11/10/14","CAg",41,"Central Valleys","CAg_33","landrace","Chile de Agua","Plantation","Fresh"
"91",2675,"CfrLaguna1","100-1",1,1,1,11,10,"1/20/16 8:30",0,54,0,0,0,"","14FBo100-1","11/10/14","FBo",18,"E Coast","FBo_9","landrace","Chile Bolita","Backyard","Fresh"
"92",2554,"CfrLaguna1","100-1",1,1,1,11,10,"1/22/16 8:24",54,101.9,0,0,0,"","14FBo100-1","11/10/14","FBo",18,"E Coast","FBo_9","landrace","Chile Bolita","Backyard","Fresh"
"93",2594,"CfrLaguna1","100-1",1,1,1,11,10,"1/24/16 8:50",101.9,150.33,0,1,1,"","14FBo100-1","11/10/14","FBo",18,"E Coast","FBo_9","landrace","Chile Bolita","Backyard","Fresh"
"94",2669,"CfrLaguna1","100-1",1,1,1,11,10,"1/26/16 8:37",150.33,198.12,1,1,0,"","14FBo100-1","11/10/14","FBo",18,"E Coast","FBo_9","landrace","Chile Bolita","Backyard","Fresh"
"95",2731,"CfrLaguna1","100-1",1,1,1,11,10,"1/28/16 8:28",198.12,245.97,1,8,7,"","14FBo100-1","11/10/14","FBo",18,"E Coast","FBo_9","landrace","Chile Bolita","Backyard","Fresh"
"96",2717,"CfrLaguna1","100-1",1,1,1,11,10,"1/30/16 9:25",245.97,294.92,8,8,0,"","14FBo100-1","11/10/14","FBo",18,"E Coast","FBo_9","landrace","Chile Bolita","Backyard","Fresh"
